,Group,Profit Factor (Corr),Sharpe Ratio (Corr),Annualized Backtest Return (Corr),Profit per Trade (Corr)
0,#US500,0.970442623368638,0.9687431316165656,0.6202218910999623,0.4618175681043889
1,AUDJPY,0.03328406008639426,0.29523809523809746,-0.06442471006186773,-0.2158081443988291
2,AUDUSD,0.36056589761165,0.7960837152105695,0.6854554483104252,0.28561779178016555
3,CADJPY,0.47138128692318065,0.42207221155718544,0.7685670564272815,0.5905682974693989
4,EURAUD,0.6585134111451174,-0.05601448317225177,0.7612905291671639,0.6312335930991876
5,EURCAD,,,,
6,EURJPY,-0.4672741755694822,-0.32423128696214215,0.710631241934007,0.2106621877938392
7,EURUSD,0.11440752106235688,0.42012651684807295,0.6849614144394787,0.297803321191735
8,GBPAUD,0.03459776287230701,0.5596971598669838,0.23340380657222928,0.02234216706382632
9,GBPCAD,-0.1330218922753942,0.6588789740085124,0.8249784072850863,-0.3948604495599708
10,GBPJPY,-0.1353619901170938,0.09743666342287408,0.6566639806604254,0.3026871426359072
11,GBPUSD,-0.6276817900630491,0.09929194396223934,0.7450453700382375,-0.5375897834787958
12,HKDJPY,-0.4303551540800524,-0.12028406863044577,0.030435679724102566,-0.4787652263343446
13,NZDJPY,,,,
14,NZDUSD,,,,
15,OILUSD,0.9800719546987958,0.9937690119070132,0.9972586619996779,0.9844155287837325
16,USDCHF,0.32593439317219647,0.6012227588234843,0.6903339357902091,-0.06291164040558084
17,USDJPY,0.13674067101105541,0.4746904126325456,0.773693803687691,0.254538356588144
18,USDPLN,,,,
19,XAUAUD,,,,
20,XAUEUR,0.19505689540998628,0.366059241708108,0.515500855620395,0.33659086761736795
21,XAUUSD,-1.0000000000000004,-1.0,0.9999999999999999,-1.0000000000000002
