Net Profit,Forward Net Profit,Annualized Forward Profit,Profit Factor,Forward Profit Factor,Total Trades,Forward Total Trades,Sharpe Ratio,Forward Sharpe Ratio,Recovery Factor,Drawdown %,Forward Drawdown %,Consistency Ratio,Calmar Ratio,Forward Calmar Ratio,Avg Profit Per Trade,Forward Avg Profit Per Trade,Overall Score,Annualized Backtest Return,Profit Factor Stability,Profit per Trade
mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
4542.352,1644.540,3172.997,1.791,1.857,158.940,70.220,1.417,1.580,2.494,12.190,10.307,0.609,359.531,174.241,26.760,26.592,0.269,2771.135,0.101,26.760
3193.638,1981.508,2829.028,1.709,1.718,149.706,91.306,1.388,1.479,1.924,10.802,10.633,0.781,312.854,202.764,20.808,23.907,0.243,1934.966,0.119,20.808
8326.994,3023.554,5617.108,1.731,1.705,275.714,64.314,1.662,1.611,3.046,17.592,14.994,0.328,470.005,162.559,33.973,37.064,0.295,5080.017,0.054,33.973
2289.343,2362.569,2180.833,1.626,1.686,119.314,96.314,1.200,1.287,1.729,9.243,11.977,1.036,249.561,201.374,19.198,24.558,0.216,1396.651,0.037,19.198
3650.251,1573.547,2310.664,1.768,1.741,162.940,81.057,1.284,1.272,2.266,11.055,9.759,0.562,403.957,164.461,22.404,20.641,0.247,2017.679,0.116,22.404
3836.871,1643.449,3137.731,1.680,1.738,180.045,77.727,1.426,1.724,2.588,9.838,8.897,0.581,405.271,192.267,20.900,24.445,0.265,2316.730,0.113,20.900
4588.137,1324.559,3547.751,1.748,1.849,178.033,55.293,1.481,1.740,2.898,11.805,8.733,0.414,406.950,151.436,25.380,27.131,0.283,2799.067,0.130,25.380
3393.277,1571.656,2390.575,1.812,1.855,165.614,75.621,1.403,1.378,2.492,10.025,10.487,0.590,380.946,144.411,20.541,20.912,0.267,2034.207,0.094,20.541
1758.950,1569.867,1449.108,1.725,1.606,118.729,103.900,1.355,1.376,2.343,4.999,7.649,0.919,409.784,211.689,14.810,15.418,0.252,1073.076,0.122,14.810
1630.236,2363.574,2181.761,1.510,1.880,102.000,85.000,0.970,1.350,1.320,8.690,13.703,1.450,187.599,172.491,15.983,27.807,0.181,994.552,0.245,15.983
2901.781,1996.819,3425.759,1.719,1.950,155.656,79.181,1.362,1.948,2.133,9.070,8.893,0.823,356.748,249.288,18.371,28.650,0.257,1770.278,0.154,18.371
4980.120,3762.430,3473.012,1.530,1.570,100.000,88.000,1.130,1.050,1.720,14.400,11.860,0.755,345.842,317.237,49.801,42.755,0.198,3038.202,0.026,49.801
